x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.000000E+00,+2.974874E+00,+5.487136E+00,+321.608E-03,+7.638191E+00
-9.995000E+00,+2.910553E+00,+5.487136E+00,+285.427E-03,+7.638191E+00
-9.990000E+00,+2.894472E+00,+5.487136E+00,+434.171E-03,+7.758794E+00
-9.985000E+00,+2.733668E+00,+5.487136E+00,+611.055E-03,+7.839196E+00
-9.980000E+00,+2.395980E+00,+5.487136E+00,+988.945E-03,+7.638191E+00
-9.975000E+00,+2.894472E+00,+5.487136E+00,+482.412E-03,+7.839196E+00
-9.970000E+00,+2.974874E+00,+5.487136E+00,+381.910E-03,+7.839196E+00
-9.965000E+00,+2.974874E+00,+5.487136E+00,+506.533E-03,+7.839196E+00
-9.960000E+00,+2.605025E+00,+5.607739E+00,+880.402E-03,+7.839196E+00
-9.955000E+00,+2.637186E+00,+5.527337E+00,+735.678E-03,+7.839196E+00
-9.950000E+00,+2.814070E+00,+5.688141E+00,+603.015E-03,+7.839196E+00
-9.945000E+00,+2.588945E+00,+5.527337E+00,+904.523E-03,+7.839196E+00
-9.940000E+00,+2.926633E+00,+5.688141E+00,+546.734E-03,+7.839196E+00
-9.935000E+00,+2.781910E+00,+5.688141E+00,+603.015E-03,+7.919598E+00
-9.930000E+00,+2.830151E+00,+5.688141E+00,+538.693E-03,+8.040201E+00
-9.925000E+00,+2.492462E+00,+5.688141E+00,+1.065327E+00,+8.040201E+00
-9.920000E+00,+2.412060E+00,+5.848945E+00,+1.185930E+00,+8.201005E+00
-9.915000E+00,+2.765829E+00,+5.889146E+00,+731.658E-03,+8.040201E+00
-9.910000E+00,+3.103518E+00,+5.889146E+00,+393.970E-03,+8.160804E+00
-9.905000E+00,+2.990955E+00,+5.889146E+00,+522.613E-03,+8.040201E+00
-9.900000E+00,+2.974874E+00,+5.889146E+00,+482.412E-03,+8.241206E+00
-9.895000E+00,+2.749749E+00,+6.049950E+00,+735.678E-03,+8.201005E+00
-9.890000E+00,+2.765829E+00,+5.889146E+00,+735.678E-03,+8.241206E+00
-9.885000E+00,+3.103518E+00,+5.969548E+00,+422.111E-03,+8.160804E+00
-9.880000E+00,+3.119598E+00,+5.929347E+00,+406.030E-03,+8.241206E+00
-9.875000E+00,+3.135678E+00,+6.090151E+00,+402.010E-03,+8.241206E+00
-9.870000E+00,+3.135678E+00,+5.929347E+00,+377.889E-03,+8.241206E+00
-9.865000E+00,+3.167839E+00,+6.090151E+00,+369.849E-03,+8.241206E+00
-9.860000E+00,+3.007035E+00,+6.090151E+00,+631.156E-03,+8.321608E+00
-9.855000E+00,+2.733668E+00,+6.090151E+00,+1.001005E+00,+8.442211E+00
-9.850000E+00,+2.974874E+00,+6.090151E+00,+703.518E-03,+8.442211E+00
-9.845000E+00,+3.135678E+00,+6.130352E+00,+466.332E-03,+8.482412E+00
-9.840000E+00,+3.135678E+00,+6.291156E+00,+502.513E-03,+8.442211E+00
-9.835000E+00,+2.733668E+00,+6.170553E+00,+980.905E-03,+8.442211E+00
-9.830000E+00,+2.814070E+00,+6.291156E+00,+808.040E-03,+8.442211E+00
-9.825000E+00,+3.055276E+00,+6.291156E+00,+623.116E-03,+8.442211E+00
-9.820000E+00,+2.926633E+00,+6.291156E+00,+743.719E-03,+8.442211E+00
-9.815000E+00,+3.103518E+00,+6.291156E+00,+574.874E-03,+8.643216E+00
-9.810000E+00,+3.007035E+00,+6.371558E+00,+631.156E-03,+8.643216E+00
-9.805000E+00,+2.781910E+00,+6.451960E+00,+984.925E-03,+8.643216E+00
-9.800000E+00,+2.733668E+00,+6.492161E+00,+1.085427E+00,+8.643216E+00
-9.795000E+00,+2.830151E+00,+6.492161E+00,+884.422E-03,+8.643216E+00
-9.790000E+00,+3.183920E+00,+6.492161E+00,+534.673E-03,+8.723618E+00
-9.785000E+00,+3.087437E+00,+6.492161E+00,+655.276E-03,+8.643216E+00
-9.780000E+00,+3.007035E+00,+6.492161E+00,+735.678E-03,+8.643216E+00
-9.775000E+00,+2.974874E+00,+6.492161E+00,+783.920E-03,+8.643216E+00
-9.770000E+00,+3.216080E+00,+6.652965E+00,+603.015E-03,+8.844221E+00
-9.765000E+00,+3.296482E+00,+6.693166E+00,+502.513E-03,+8.643216E+00
-9.760000E+00,+3.264322E+00,+6.693166E+00,+486.432E-03,+8.844221E+00
-9.755000E+00,+3.360804E+00,+6.532362E+00,+446.231E-03,+8.844221E+00
-9.750000E+00,+3.376884E+00,+6.693166E+00,+462.312E-03,+8.844221E+00
-9.745000E+00,+3.167839E+00,+6.693166E+00,+804.020E-03,+8.844221E+00
-9.740000E+00,+2.733668E+00,+6.693166E+00,+1.173869E+00,+8.844221E+00
-9.735000E+00,+3.232161E+00,+6.894171E+00,+627.136E-03,+8.924623E+00
-9.730000E+00,+3.296482E+00,+6.894171E+00,+554.774E-03,+9.005025E+00
-9.725000E+00,+3.135678E+00,+6.894171E+00,+663.317E-03,+9.045226E+00
-9.720000E+00,+2.894472E+00,+6.894171E+00,+1.033166E+00,+8.884422E+00
-9.715000E+00,+3.087437E+00,+6.894171E+00,+779.899E-03,+9.045226E+00
