x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-9.630000E+00,-402.010E-03,-144.724E-03,+80.402E-03,+201.005E-03
-9.625000E+00,-603.015E-03,-72.362E-03,+80.402E-03,+201.005E-03
-9.620000E+00,-361.809E-03,-144.724E-03,+80.402E-03,+201.005E-03
-9.615000E+00,-120.603E-03,-173.668E-03,+136.683E-03,+201.005E-03
-9.610000E+00,+0.0E+00,-217.085E-03,+160.804E-03,+201.005E-03
-9.605000E+00,+0.0E+00,-144.724E-03,+120.603E-03,+0.0E+00
-9.600000E+00,-201.005E-03,-144.724E-03,+80.402E-03,+201.005E-03
-9.595000E+00,+0.0E+00,-144.724E-03,+80.402E-03,+40.201E-03
-9.590000E+00,-80.402E-03,-101.307E-03,+80.402E-03,+0.0E+00
-9.585000E+00,-80.402E-03,-101.307E-03,+16.080E-03,+0.0E+00
-9.580000E+00,-201.005E-03,-72.362E-03,+0.0E+00,+0.0E+00
-9.575000E+00,-402.010E-03,-72.362E-03,+0.0E+00,+0.0E+00
-9.570000E+00,-201.005E-03,-72.362E-03,+0.0E+00,+0.0E+00
-9.565000E+00,-201.005E-03,-72.362E-03,+0.0E+00,-120.603E-03
-9.560000E+00,-80.402E-03,-72.362E-03,+0.0E+00,-120.603E-03
-9.555000E+00,+0.0E+00,-72.362E-03,+0.0E+00,-201.005E-03
-9.550000E+00,+0.0E+00,-72.362E-03,+0.0E+00,-201.005E-03
-9.545000E+00,+0.0E+00,-14.472E-03,+0.0E+00,-160.804E-03
-9.540000E+00,+0.0E+00,-43.417E-03,+0.0E+00,-201.005E-03
-9.535000E+00,+0.0E+00,+0.0E+00,-40.201E-03,-201.005E-03
-9.530000E+00,+0.0E+00,+0.0E+00,-40.201E-03,-201.005E-03
-9.525000E+00,+0.0E+00,+0.0E+00,-40.201E-03,-201.005E-03
-9.520000E+00,+201.005E-03,+0.0E+00,-40.201E-03,-241.206E-03
-9.515000E+00,+201.005E-03,-72.362E-03,-24.121E-03,-321.608E-03
-9.510000E+00,+201.005E-03,-72.362E-03,-40.201E-03,-281.407E-03
-9.505000E+00,+361.809E-03,+0.0E+00,-8.040E-03,-402.010E-03
-9.500000E+00,+201.005E-03,+0.0E+00,-40.201E-03,-402.010E-03
-9.495000E+00,+160.804E-03,+0.0E+00,-80.402E-03,-402.010E-03
-9.490000E+00,+201.005E-03,+43.417E-03,-80.402E-03,-402.010E-03
-9.485000E+00,+321.608E-03,+0.0E+00,-80.402E-03,-522.613E-03
-9.480000E+00,+402.010E-03,+0.0E+00,-72.362E-03,-402.010E-03
-9.475000E+00,+402.010E-03,+0.0E+00,-40.201E-03,-402.010E-03
-9.470000E+00,+402.010E-03,+0.0E+00,-80.402E-03,-603.015E-03
-9.465000E+00,+402.010E-03,+0.0E+00,-80.402E-03,-603.015E-03
