x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-20.0000E+00,,,,
-19.9900E+00,,,,
-19.9800E+00,,,,
-19.9700E+00,,,,
-19.9600E+00,,,,
-19.9500E+00,,,,
-19.9400E+00,,,,
-19.9300E+00,,,,
-19.9200E+00,,,,
-19.9100E+00,,,,
-19.9000E+00,,,,
-19.8900E+00,,,,
-19.8800E+00,,,,
-19.8700E+00,,,,
-19.8600E+00,,,,
-19.8500E+00,,,,
-19.8400E+00,,,,
-19.8300E+00,,,,
-19.8200E+00,,,,
-19.8100E+00,,,,
-19.8000E+00,,,,
-19.7900E+00,,,,
-19.7800E+00,,,,
-19.7700E+00,,,,
-19.7600E+00,,,,
-19.7500E+00,,,,
-19.7400E+00,,,,
-19.7300E+00,,,,
-19.7200E+00,,,,
-19.7100E+00,,,,
-19.7000E+00,,,,
-19.6900E+00,,,,
-19.6800E+00,,,,
-19.6700E+00,,,,
-19.6600E+00,,,,
-19.6500E+00,,,,
-19.6400E+00,,,,
-19.6300E+00,,,,
-19.6200E+00,-1.1417E+00,-3.9206E+00,-80.4E-03,-10.0503E+00
-19.6100E+00,-1.0452E+00,-3.9206E+00,-120.6E-03,-10.0503E+00
-19.6000E+00,-1.0050E+00,-3.9206E+00,-120.6E-03,-10.0503E+00
-19.5900E+00,-868.3E-03,-3.9206E+00,-168.8E-03,-10.0503E+00
-19.5800E+00,-779.9E-03,-3.9482E+00,-160.8E-03,-9.9698E+00
-19.5700E+00,-844.2E-03,-3.9897E+00,-96.5E-03,-9.8492E+00
-19.5600E+00,-739.7E-03,-3.9897E+00,-152.8E-03,-9.8492E+00
-19.5500E+00,-723.6E-03,-4.0588E+00,-120.6E-03,-9.8492E+00
-19.5400E+00,-643.2E-03,-4.0588E+00,-120.6E-03,-9.6482E+00
-19.5300E+00,-514.6E-03,-4.0588E+00,-152.8E-03,-9.7286E+00
-19.5200E+00,-530.7E-03,-4.0588E+00,-136.7E-03,-9.6482E+00
-19.5100E+00,-490.5E-03,-4.0450E+00,-88.4E-03,-9.4874E+00
-19.5000E+00,-442.2E-03,-4.0588E+00,-80.4E-03,-9.6482E+00
-19.4900E+00,-321.6E-03,-4.0727E+00,-160.8E-03,-9.6080E+00
-19.4800E+00,-361.8E-03,-4.1280E+00,-120.6E-03,-9.4472E+00
-19.4700E+00,-241.2E-03,-4.1280E+00,-120.6E-03,-9.4472E+00
-19.4600E+00,-241.2E-03,-4.0588E+00,-128.6E-03,-9.4472E+00
-19.4500E+00,-160.8E-03,-4.1280E+00,-160.8E-03,-9.4472E+00
-19.4400E+00,-160.8E-03,-4.1280E+00,-120.6E-03,-9.2462E+00
-19.4300E+00,-144.7E-03,-4.1280E+00,-104.5E-03,-9.2462E+00
