x-axis,1,2,3
second,Volt,Volt,Volt
+670.000E-03,,,
+679.800E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+689.600E-03,+2.331721E+00,-52.010E-03,-35.745E-03
+699.400E-03,+2.366897E+00,+18.342E-03,-22.730E-03
+709.200E-03,+2.331721E+00,-21.859E-03,-45.041E-03
+719.000E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+728.800E-03,+2.331721E+00,-21.859E-03,-35.745E-03
+738.600E-03,+2.331721E+00,-41.960E-03,-35.745E-03
+748.400E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+758.200E-03,+2.331721E+00,+28.392E-03,-33.886E-03
+768.000E-03,+2.331721E+00,-52.010E-03,-35.745E-03
+777.800E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+787.600E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+797.400E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+807.200E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+817.000E-03,+2.331721E+00,+28.392E-03,-22.730E-03
+826.800E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+836.600E-03,+2.366897E+00,+28.392E-03,-35.745E-03
+846.400E-03,+2.331721E+00,+28.392E-03,-30.167E-03
+856.200E-03,+2.331721E+00,-41.960E-03,-35.745E-03
+866.000E-03,+2.331721E+00,+28.392E-03,-30.167E-03
+875.800E-03,+2.331721E+00,-52.010E-03,-35.745E-03
+885.600E-03,+2.331721E+00,-1.759E-03,-35.745E-03
+895.400E-03,+2.331721E+00,+28.392E-03,-33.886E-03
+905.200E-03,+2.331721E+00,-21.859E-03,-30.167E-03
+915.000E-03,+2.331721E+00,-41.960E-03,-35.745E-03
+924.800E-03,+2.346796E+00,+28.392E-03,-35.745E-03
+934.600E-03,+2.331721E+00,-41.960E-03,-35.745E-03
+944.400E-03,+2.331721E+00,-1.759E-03,-30.167E-03
+954.200E-03,+2.331721E+00,-41.960E-03,-33.886E-03
+964.000E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+973.800E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+983.600E-03,+2.331721E+00,-21.859E-03,-26.448E-03
+993.400E-03,+2.331721E+00,+28.392E-03,-35.745E-03
+1.003200E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+1.013000E+00,+2.366897E+00,+28.392E-03,-35.745E-03
+1.022800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.032600E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.042400E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.052200E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.062000E+00,+2.346796E+00,-1.759E-03,-35.745E-03
+1.071800E+00,+2.331721E+00,+28.392E-03,-33.886E-03
+1.081600E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.091400E+00,+2.331721E+00,-41.960E-03,-33.886E-03
+1.101200E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.111000E+00,+2.331721E+00,+28.392E-03,-22.730E-03
+1.120800E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.130600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.140400E+00,+2.331721E+00,+28.392E-03,-26.448E-03
+1.150200E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.160000E+00,+2.331721E+00,-21.859E-03,-35.745E-03
+1.169800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.179600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.189400E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+1.199200E+00,+2.331721E+00,-21.859E-03,-30.167E-03
+1.209000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.218800E+00,+2.331721E+00,+28.392E-03,-30.167E-03
+1.228600E+00,+2.331721E+00,-41.960E-03,-33.886E-03
+1.238400E+00,+2.331721E+00,-1.759E-03,-26.448E-03
+1.248200E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.258000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.267800E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.277600E+00,+2.331721E+00,-21.859E-03,-35.745E-03
+1.287400E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.297200E+00,+2.346796E+00,+28.392E-03,-35.745E-03
+1.307000E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+1.316800E+00,+2.306595E+00,+28.392E-03,-30.167E-03
+1.326600E+00,+2.331721E+00,-41.960E-03,-22.730E-03
+1.336400E+00,+2.331721E+00,+28.392E-03,-30.167E-03
+1.346200E+00,+2.331721E+00,-41.960E-03,-22.730E-03
+1.356000E+00,+2.331721E+00,+28.392E-03,-26.448E-03
+1.365800E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+1.375600E+00,+2.356847E+00,+28.392E-03,-35.745E-03
+1.385400E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+1.395200E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.405000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.414800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.424600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.434400E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+1.444200E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+1.454000E+00,+2.331721E+00,-21.859E-03,-30.167E-03
+1.463800E+00,+2.331721E+00,+18.342E-03,-33.886E-03
+1.473600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.483400E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.493200E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.503000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.512800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.522600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.532400E+00,+2.331721E+00,-21.859E-03,-26.448E-03
+1.542200E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.552000E+00,+2.331721E+00,-21.859E-03,-35.745E-03
+1.561800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.571600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.581400E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.591200E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.601000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.610800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.620600E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.630400E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.640200E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.650000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.659800E+00,+2.331721E+00,+28.392E-03,-33.886E-03
+1.669600E+00,+2.331721E+00,-21.859E-03,-35.745E-03
+1.679400E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+1.689200E+00,+2.331721E+00,-21.859E-03,-26.448E-03
+1.699000E+00,+2.336746E+00,+18.342E-03,-22.730E-03
+1.708800E+00,+2.331721E+00,-1.759E-03,-45.041E-03
+1.718600E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+1.728400E+00,+2.331721E+00,+28.392E-03,-30.167E-03
+1.738200E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.748000E+00,+2.331721E+00,-21.859E-03,-30.167E-03
+1.757800E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.767600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.777400E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.787200E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.797000E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.806800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.816600E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+1.826400E+00,+2.331721E+00,+28.392E-03,-26.448E-03
+1.836200E+00,+2.366897E+00,+18.342E-03,-20.871E-03
+1.846000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.855800E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.865600E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.875400E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.885200E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.895000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.904800E+00,+2.331721E+00,-21.859E-03,-35.745E-03
+1.914600E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+1.924400E+00,+2.331721E+00,-21.859E-03,-30.167E-03
+1.934200E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.944000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+1.953800E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+1.963600E+00,+2.331721E+00,-1.759E-03,-35.745E-03
+1.973400E+00,+2.331721E+00,+28.392E-03,-22.730E-03
+1.983200E+00,+2.316646E+00,-21.859E-03,-35.745E-03
+1.993000E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+2.002800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+2.012600E+00,+2.331721E+00,-41.960E-03,-33.886E-03
+2.022400E+00,+2.346796E+00,+28.392E-03,-35.745E-03
+2.032200E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+2.042000E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+2.051800E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+2.061600E+00,+2.331721E+00,-1.759E-03,-20.871E-03
+2.071400E+00,+2.331721E+00,-52.010E-03,-20.871E-03
+2.081200E+00,+2.331721E+00,-21.859E-03,-35.745E-03
+2.091000E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+2.100800E+00,+2.331721E+00,+28.392E-03,-30.167E-03
+2.110600E+00,+2.331721E+00,-41.960E-03,-35.745E-03
+2.120400E+00,+2.331721E+00,-21.859E-03,-30.167E-03
+2.130200E+00,+2.331721E+00,+18.342E-03,-35.745E-03
+2.140000E+00,+2.331721E+00,-1.759E-03,-30.167E-03
+2.149800E+00,+2.331721E+00,-52.010E-03,-35.745E-03
+2.159600E+00,+2.331721E+00,+28.392E-03,-35.745E-03
+2.169400E+00,+2.296545E+00,+28.392E-03,-35.745E-03
+2.179200E+00,+2.321671E+00,-21.859E-03,-35.745E-03
+2.189000E+00,+2.331721E+00,+28.392E-03,-33.886E-03
+2.198800E+00,+2.331721E+00,-21.859E-03,-30.167E-03
