x-axis,1,2,3
second,Volt,Volt,Volt
+670.000E-03,,,
+679.800E-03,+7.722613E+00,+5.729083E+00,+2.577889E+00
+689.600E-03,+7.762814E+00,+5.751696E+00,+2.597990E+00
+699.400E-03,+7.762814E+00,+5.731595E+00,+2.577889E+00
+709.200E-03,+7.787940E+00,+5.744158E+00,+2.572864E+00
+719.000E-03,+7.803015E+00,+5.749183E+00,+2.613065E+00
+728.800E-03,+7.803015E+00,+5.739133E+00,+2.597990E+00
+738.600E-03,+7.803015E+00,+5.751696E+00,+2.572864E+00
+748.400E-03,+7.818090E+00,+5.751696E+00,+2.613065E+00
+758.200E-03,+7.843216E+00,+5.751696E+00,+2.618090E+00
+768.000E-03,+7.858291E+00,+5.739133E+00,+2.613065E+00
+777.800E-03,+7.878392E+00,+5.754208E+00,+2.613065E+00
+787.600E-03,+7.843216E+00,+5.771796E+00,+2.613065E+00
+797.400E-03,+7.883417E+00,+5.751696E+00,+2.648241E+00
+807.200E-03,+7.898492E+00,+5.759234E+00,+2.613065E+00
+817.000E-03,+7.888442E+00,+5.754208E+00,+2.613065E+00
+826.800E-03,+7.923618E+00,+5.791897E+00,+2.628141E+00
+836.600E-03,+7.923618E+00,+5.771796E+00,+2.653266E+00
+846.400E-03,+7.938693E+00,+5.771796E+00,+2.653266E+00
+856.200E-03,+7.963819E+00,+5.771796E+00,+2.653266E+00
+866.000E-03,+7.963819E+00,+5.784359E+00,+2.653266E+00
+875.800E-03,+7.968844E+00,+5.789384E+00,+2.653266E+00
+885.600E-03,+7.988945E+00,+5.791897E+00,+2.653266E+00
+895.400E-03,+8.004020E+00,+5.771796E+00,+2.653266E+00
+905.200E-03,+8.004020E+00,+5.799435E+00,+2.668342E+00
+915.000E-03,+8.009045E+00,+5.809485E+00,+2.693467E+00
+924.800E-03,+8.019095E+00,+5.791897E+00,+2.668342E+00
+934.600E-03,+8.044221E+00,+5.809485E+00,+2.693467E+00
+944.400E-03,+8.059296E+00,+5.811997E+00,+2.693467E+00
+954.200E-03,+8.084422E+00,+5.811997E+00,+2.688442E+00
+964.000E-03,+8.084422E+00,+5.811997E+00,+2.678392E+00
+973.800E-03,+8.084422E+00,+5.811997E+00,+2.693467E+00
+983.600E-03,+8.109548E+00,+5.811997E+00,+2.693467E+00
+993.400E-03,+8.124623E+00,+5.829585E+00,+2.698492E+00
+1.003200E+00,+8.109548E+00,+5.811997E+00,+2.693467E+00
+1.013000E+00,+8.164824E+00,+5.832098E+00,+2.728643E+00
+1.022800E+00,+7.908543E+00,+5.844661E+00,+2.693467E+00
+1.032600E+00,+8.164824E+00,+5.832098E+00,+2.733668E+00
+1.042400E+00,+8.189950E+00,+5.824560E+00,+2.718593E+00
+1.052200E+00,+8.200000E+00,+5.832098E+00,+2.733668E+00
+1.062000E+00,+8.205025E+00,+5.844661E+00,+2.733668E+00
+1.071800E+00,+8.205025E+00,+5.832098E+00,+2.733668E+00
+1.081600E+00,+8.205025E+00,+5.844661E+00,+2.733668E+00
+1.091400E+00,+8.210050E+00,+5.849686E+00,+2.733668E+00
+1.101200E+00,+8.220100E+00,+5.852198E+00,+2.733668E+00
+1.111000E+00,+8.245226E+00,+5.852198E+00,+2.738693E+00
+1.120800E+00,+8.245226E+00,+5.864761E+00,+2.733668E+00
+1.130600E+00,+8.250251E+00,+5.869786E+00,+2.738693E+00
+1.140400E+00,+8.285427E+00,+5.872299E+00,+2.733668E+00
+1.150200E+00,+8.285427E+00,+5.872299E+00,+2.738693E+00
+1.160000E+00,+8.285427E+00,+5.872299E+00,+2.773869E+00
+1.169800E+00,+8.320603E+00,+5.872299E+00,+2.773869E+00
+1.179600E+00,+8.285427E+00,+5.872299E+00,+2.773869E+00
+1.189400E+00,+8.325628E+00,+5.874811E+00,+2.773869E+00
+1.199200E+00,+8.310553E+00,+5.892399E+00,+2.773869E+00
+1.209000E+00,+8.365829E+00,+5.874811E+00,+2.773869E+00
+1.218800E+00,+8.340703E+00,+5.892399E+00,+2.773869E+00
+1.228600E+00,+8.365829E+00,+5.892399E+00,+2.814070E+00
+1.238400E+00,+8.365829E+00,+5.899937E+00,+2.814070E+00
+1.248200E+00,+8.370854E+00,+5.894912E+00,+2.809045E+00
+1.258000E+00,+8.406030E+00,+5.920038E+00,+2.814070E+00
+1.267800E+00,+8.406030E+00,+5.912500E+00,+2.814070E+00
+1.277600E+00,+8.406030E+00,+5.912500E+00,+2.788945E+00
+1.287400E+00,+8.406030E+00,+5.912500E+00,+2.814070E+00
+1.297200E+00,+8.406030E+00,+5.920038E+00,+2.814070E+00
+1.307000E+00,+8.446231E+00,+5.915012E+00,+2.814070E+00
+1.316800E+00,+8.446231E+00,+5.932600E+00,+2.814070E+00
+1.326600E+00,+8.446231E+00,+5.930088E+00,+2.804020E+00
+1.336400E+00,+8.446231E+00,+5.932600E+00,+2.814070E+00
+1.346200E+00,+8.486432E+00,+5.932600E+00,+2.814070E+00
+1.356000E+00,+8.461306E+00,+5.945163E+00,+2.814070E+00
+1.365800E+00,+8.451256E+00,+5.950188E+00,+2.819095E+00
+1.375600E+00,+8.486432E+00,+5.932600E+00,+2.814070E+00
+1.385400E+00,+8.486432E+00,+5.970289E+00,+2.819095E+00
+1.395200E+00,+8.486432E+00,+5.960239E+00,+2.814070E+00
+1.405000E+00,+8.526633E+00,+5.952701E+00,+2.819095E+00
+1.414800E+00,+8.526633E+00,+5.965264E+00,+2.854271E+00
+1.424600E+00,+8.526633E+00,+5.972801E+00,+2.854271E+00
+1.434400E+00,+8.526633E+00,+5.972801E+00,+2.854271E+00
+1.444200E+00,+8.526633E+00,+5.992902E+00,+2.819095E+00
+1.454000E+00,+8.566834E+00,+5.972801E+00,+2.869347E+00
+1.463800E+00,+8.561809E+00,+5.992902E+00,+2.854271E+00
+1.473600E+00,+8.566834E+00,+5.992902E+00,+2.854271E+00
+1.483400E+00,+8.566834E+00,+5.972801E+00,+2.854271E+00
+1.493200E+00,+8.566834E+00,+5.992902E+00,+2.854271E+00
+1.503000E+00,+8.602010E+00,+5.992902E+00,+2.854271E+00
+1.512800E+00,+8.607035E+00,+6.013002E+00,+2.854271E+00
+1.522600E+00,+8.607035E+00,+6.010490E+00,+2.889447E+00
+1.532400E+00,+8.607035E+00,+6.025565E+00,+2.854271E+00
+1.542200E+00,+8.612060E+00,+6.013002E+00,+2.889447E+00
+1.552000E+00,+8.607035E+00,+6.020540E+00,+2.869347E+00
+1.561800E+00,+8.647236E+00,+6.033103E+00,+2.889447E+00
+1.571600E+00,+8.622110E+00,+6.025565E+00,+2.879397E+00
+1.581400E+00,+8.647236E+00,+6.015515E+00,+2.894472E+00
+1.591200E+00,+8.672362E+00,+6.033103E+00,+2.894472E+00
+1.601000E+00,+8.652261E+00,+6.050691E+00,+2.894472E+00
+1.610800E+00,+8.662311E+00,+6.033103E+00,+2.894472E+00
+1.620600E+00,+8.687437E+00,+6.033103E+00,+2.894472E+00
+1.630400E+00,+8.672362E+00,+6.053203E+00,+2.894472E+00
+1.640200E+00,+8.687437E+00,+6.053203E+00,+2.894472E+00
+1.650000E+00,+8.687437E+00,+6.060741E+00,+2.894472E+00
+1.659800E+00,+8.687437E+00,+6.073304E+00,+2.894472E+00
+1.669600E+00,+8.687437E+00,+6.060741E+00,+2.909548E+00
+1.679400E+00,+8.722613E+00,+6.075816E+00,+2.894472E+00
+1.689200E+00,+8.687437E+00,+6.073304E+00,+2.909548E+00
+1.699000E+00,+8.727638E+00,+6.075816E+00,+2.894472E+00
+1.708800E+00,+8.687437E+00,+6.080842E+00,+2.894472E+00
+1.718600E+00,+8.727638E+00,+6.110992E+00,+2.929648E+00
+1.728400E+00,+8.727638E+00,+6.093404E+00,+2.894472E+00
+1.738200E+00,+8.727638E+00,+6.113505E+00,+2.894472E+00
+1.748000E+00,+8.727638E+00,+6.113505E+00,+2.909548E+00
+1.757800E+00,+8.727638E+00,+6.093404E+00,+2.894472E+00
+1.767600E+00,+8.752764E+00,+6.113505E+00,+2.919598E+00
+1.777400E+00,+8.727638E+00,+6.113505E+00,+2.899497E+00
+1.787200E+00,+8.727638E+00,+6.133605E+00,+2.934673E+00
+1.797000E+00,+8.732663E+00,+6.131093E+00,+2.934673E+00
+1.806800E+00,+8.752764E+00,+6.121043E+00,+2.919598E+00
+1.816600E+00,+8.762814E+00,+6.133605E+00,+2.934673E+00
+1.826400E+00,+8.727638E+00,+6.133605E+00,+2.909548E+00
+1.836200E+00,+8.833166E+00,+6.176319E+00,+2.934673E+00
+1.846000E+00,+8.727638E+00,+6.153706E+00,+2.934673E+00
+1.855800E+00,+8.732663E+00,+6.153706E+00,+2.934673E+00
+1.865600E+00,+8.767839E+00,+6.146168E+00,+2.934673E+00
+1.875400E+00,+8.767839E+00,+6.153706E+00,+2.934673E+00
+1.885200E+00,+8.767839E+00,+6.166269E+00,+2.934673E+00
+1.895000E+00,+8.767839E+00,+6.173806E+00,+2.934673E+00
+1.904800E+00,+8.767839E+00,+6.173806E+00,+2.934673E+00
+1.914600E+00,+8.767839E+00,+6.173806E+00,+2.894472E+00
+1.924400E+00,+8.792965E+00,+6.161244E+00,+2.934673E+00
+1.934200E+00,+8.767839E+00,+6.193907E+00,+2.894472E+00
+1.944000E+00,+8.808040E+00,+6.186369E+00,+2.934673E+00
+1.953800E+00,+8.803015E+00,+6.193907E+00,+2.899497E+00
+1.963600E+00,+8.767839E+00,+6.206470E+00,+2.934673E+00
+1.973400E+00,+8.808040E+00,+6.193907E+00,+2.934673E+00
+1.983200E+00,+8.808040E+00,+6.214007E+00,+2.919598E+00
+1.993000E+00,+8.772864E+00,+6.214007E+00,+2.934673E+00
+2.002800E+00,+8.782914E+00,+6.201445E+00,+2.934673E+00
+2.012600E+00,+8.808040E+00,+6.216520E+00,+2.934673E+00
+2.022400E+00,+8.808040E+00,+6.214007E+00,+2.934673E+00
+2.032200E+00,+8.808040E+00,+6.234108E+00,+2.934673E+00
+2.042000E+00,+8.808040E+00,+6.226570E+00,+2.934673E+00
+2.051800E+00,+8.808040E+00,+6.236621E+00,+2.934673E+00
+2.061600E+00,+8.808040E+00,+6.241646E+00,+2.934673E+00
+2.071400E+00,+8.808040E+00,+6.236621E+00,+2.899497E+00
+2.081200E+00,+8.808040E+00,+6.254208E+00,+2.934673E+00
+2.091000E+00,+8.808040E+00,+6.254208E+00,+2.934673E+00
+2.100800E+00,+8.808040E+00,+6.254208E+00,+2.934673E+00
+2.110600E+00,+8.772864E+00,+6.256721E+00,+2.934673E+00
