x-axis,1,2,3
second,Volt,Volt,Volt
-426.00E-03,+2.97217E+00,+2.79777E+00,+170.54E-03
-414.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-402.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
-390.00E-03,+2.97217E+00,+2.78772E+00,+170.54E-03
-378.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-366.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-354.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-342.00E-03,+2.97217E+00,+2.79777E+00,+170.54E-03
-330.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-318.00E-03,+2.97217E+00,+2.80782E+00,+179.18E-03
-306.00E-03,+2.96212E+00,+2.78772E+00,+170.54E-03
-294.00E-03,+2.96212E+00,+2.79777E+00,+179.18E-03
-282.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
-270.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-258.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-246.00E-03,+2.98222E+00,+2.77767E+00,+196.47E-03
-234.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-222.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-210.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-198.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-186.00E-03,+2.99227E+00,+2.79777E+00,+179.18E-03
-174.00E-03,+2.97217E+00,+2.78772E+00,+170.54E-03
-162.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-150.00E-03,+2.96212E+00,+2.77767E+00,+179.18E-03
-138.00E-03,+2.97217E+00,+2.77767E+00,+179.18E-03
-126.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-114.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
-102.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-90.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-78.00E-03,+2.97217E+00,+2.77767E+00,+179.18E-03
-66.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
-54.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-42.00E-03,+2.96212E+00,+2.79777E+00,+179.18E-03
-30.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-18.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-6.00E-03,+2.98222E+00,+2.79777E+00,+170.54E-03
+6.00E-03,+2.98222E+00,+2.79777E+00,+170.54E-03
+18.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+30.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
+42.00E-03,+2.97217E+00,+2.78772E+00,+161.90E-03
+54.00E-03,+2.98222E+00,+2.79777E+00,+170.54E-03
+66.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+78.00E-03,+2.98222E+00,+2.79777E+00,+170.54E-03
+90.00E-03,+2.96212E+00,+2.79777E+00,+170.54E-03
+102.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+114.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
+126.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
+138.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
+150.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
+162.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+174.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+186.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
+198.00E-03,+2.96212E+00,+2.78772E+00,+179.18E-03
+210.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
+222.00E-03,+2.97217E+00,+2.77767E+00,+179.18E-03
+234.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
+246.00E-03,+2.96212E+00,+2.78772E+00,+170.54E-03
+258.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+270.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
+282.00E-03,+2.98222E+00,+2.78772E+00,+170.54E-03
+294.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+306.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
+318.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
+330.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
+342.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
+354.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
+366.00E-03,+2.98222E+00,+2.77767E+00,+187.83E-03
+378.00E-03,+2.98222E+00,+2.77767E+00,+170.54E-03
+390.00E-03,+2.96212E+00,+2.78772E+00,+187.83E-03
+402.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
+414.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+426.00E-03,+2.98222E+00,+2.77767E+00,+170.54E-03
+438.00E-03,+2.97217E+00,+2.79777E+00,+170.54E-03
+450.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
+462.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
+474.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+486.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+498.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
+510.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
+522.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
+534.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+546.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
+558.00E-03,+2.97217E+00,+2.77767E+00,+179.18E-03
+570.00E-03,+2.96212E+00,+2.79777E+00,+179.18E-03
+582.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
+594.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
+606.00E-03,+2.98222E+00,+2.77767E+00,+179.18E-03
+618.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
+630.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+642.00E-03,+2.98222E+00,+2.77767E+00,+187.83E-03
+654.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+666.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+678.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
+690.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
+702.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
+714.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
+726.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
+738.00E-03,+2.97217E+00,+2.79777E+00,+170.54E-03
+750.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
+762.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+774.00E-03,+2.98222E+00,+2.77767E+00,+187.83E-03
+786.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
+798.00E-03,+2.98222E+00,+2.77767E+00,+187.83E-03
+810.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
+822.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
+834.00E-03,+2.96212E+00,+2.77767E+00,+187.83E-03
+846.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
+858.00E-03,+2.98222E+00,+2.77767E+00,+187.83E-03
+870.00E-03,+2.96212E+00,+2.77767E+00,+179.18E-03
+882.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
+894.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
